paraphrase,id1,id2,sentence1,sentence2,text,is_paraphrase
0,2578315,2578177,"Against the Swiss franc CHF= , the dollar was at 1.3172 francs, down 0.60 percent.",Against the yen the dollar was down 0.7 percent at 110.73 yen.,"Against the Swiss franc CHF= , the dollar was at 1.3172 francs, down 0.60 percent. Against the yen the dollar was down 0.7 percent at 110.73 yen.",false
1,1277527,1277464,"Community college students will see their tuition rise by $300 to $2,800 or 12 percent.","Tuition at the six two-year community colleges will leap by $300, to $2,800.","Community college students will see their tuition rise by $300 to $2,800 or 12 percent. Tuition at the six two-year community colleges will leap by $300, to $2,800.",true
1,2857171,2857458,"People just love e-mail, and it really bothers them that spam is ruining such a good thing, said Deborah Fallows, the Pew researcher who wrote the report.","People just love e-mail, and it really bothers them that spam is ruining such a good thing, said Deborah Fallows, senior research fellow with the Pew project.","People just love e-mail, and it really bothers them that spam is ruining such a good thing, said Deborah Fallows, the Pew researcher who wrote the report. People just love e-mail, and it really bothers them that spam is ruining such a good thing, said Deborah Fallows, senior research fellow with the Pew project.",true
0,2839411,2839475,"The MPx200, which will sell for $299.99, is now available through AT&T Wireless' mMode service.",The phone is available for $299.99 with any compatible AT&T Wireless service plan.,"The MPx200, which will sell for $299.99, is now available through AT&T Wireless' mMode service. The phone is available for $299.99 with any compatible AT&T Wireless service plan.",false
0,1578836,1578673,"A senior air force official and a member of parliament were also on board, state radio report said.","A senior air force official and a member of Parliament also died in the crash, it said.","A senior air force official and a member of parliament were also on board, state radio report said. A senior air force official and a member of Parliament also died in the crash, it said.",false
1,1641162,1641062,It said the damage to the wing provided a pathway for hot gasses to penetrate the ship's thermal armor during Columbia's ill-fated reentry.,The document says the damage to the wing provided a pathway for hot gases to penetrate Columbia's thermal armour during its fatal re-entry.,It said the damage to the wing provided a pathway for hot gasses to penetrate the ship's thermal armor during Columbia's ill-fated reentry. The document says the damage to the wing provided a pathway for hot gases to penetrate Columbia's thermal armour during its fatal re-entry.,true
1,899424,899513,"Arifin has disclosed to the I.S.D. that he is involved with a group of like-minded individuals in planning terrorist attacks against certain targets in Thailand, the statement said.","Arifin has disclosed . . . that he is involved with a group of like-minded individuals in planning terrorist attacks against certain targets in Thailand.
1	1349834	1349741	An amendment by Rep. Ellen Tauscher of California to create a special committee to investigate Iraq intelligence failures was rejected on procedural grounds.	Her proposal to create a special committee to investigate Iraq intelligence failures was rejected on procedural grounds.
1	1692076	1692027	Intel updated investors midway through the quarter and said business was proceeding exactly as planned.	Intel said midway through its quarter, which ended in June, that business was exactly as expected.
1	1761554	1761455	The NAFTA ruling confirms that Canadian producers dump lumber in to the U.S. market,"" Rusty Wood, chairman of the coalition, said in a release.","Arifin has disclosed to the I.S.D. that he is involved with a group of like-minded individuals in planning terrorist attacks against certain targets in Thailand, the statement said. Arifin has disclosed . . . that he is involved with a group of like-minded individuals in planning terrorist attacks against certain targets in Thailand.
1	1349834	1349741	An amendment by Rep. Ellen Tauscher of California to create a special committee to investigate Iraq intelligence failures was rejected on procedural grounds.	Her proposal to create a special committee to investigate Iraq intelligence failures was rejected on procedural grounds.
1	1692076	1692027	Intel updated investors midway through the quarter and said business was proceeding exactly as planned.	Intel said midway through its quarter, which ended in June, that business was exactly as expected.
1	1761554	1761455	The NAFTA ruling confirms that Canadian producers dump lumber in to the U.S. market,"" Rusty Wood, chairman of the coalition, said in a release.",true
1,375678,375561,Another was in serious condition at Northwest Medical Center in Springdale.,"At Northwest Medical Center of Washington County in Springdale, one child is in serious condition.","Another was in serious condition at Northwest Medical Center in Springdale. At Northwest Medical Center of Washington County in Springdale, one child is in serious condition.",true
0,2587656,2587753,Iraqi police opened fire in downtown Baghdad today after demonstrators stormed a police station demanding they be given jobs they claimed to have paid bribes for.,"Iraqi police opened fire in downtown Baghdad Wednesday after demonstrators demanding jobs stormed a police station and threw stones at officers, police said.","Iraqi police opened fire in downtown Baghdad today after demonstrators stormed a police station demanding they be given jobs they claimed to have paid bribes for. Iraqi police opened fire in downtown Baghdad Wednesday after demonstrators demanding jobs stormed a police station and threw stones at officers, police said.",false
1,2280387,2280353,"Although some firms show BPO savings, vendors overstate their current offerings, John C. McCarthy, Forrester Group director, said.","Although some firms show BPO savings, vendors overstate their current offerings, McCarthy said in a statement.","Although some firms show BPO savings, vendors overstate their current offerings, John C. McCarthy, Forrester Group director, said. Although some firms show BPO savings, vendors overstate their current offerings, McCarthy said in a statement.",true
1,816362,816340,"Without going into specifics, Oracle managers also indicated PeopleSoft's roughly 8,000 workers could expect mass layoffs.","Oracle managers also indicated PeopleSoft's roughly 8,000 workers could expect mass layoffs, though they did not get into specifics.","Without going into specifics, Oracle managers also indicated PeopleSoft's roughly 8,000 workers could expect mass layoffs. Oracle managers also indicated PeopleSoft's roughly 8,000 workers could expect mass layoffs, though they did not get into specifics.",true
1,62256,62268,"The layoffs at Eddie Bauer headquarters were dispersed across the company and at all levels, spokeswoman Lisa Erickson said.","The eliminations at Eddie Bauer come at all divisions and levels of the company, said Eddie Bauer spokeswoman Lisa Erickson.","The layoffs at Eddie Bauer headquarters were dispersed across the company and at all levels, spokeswoman Lisa Erickson said. The eliminations at Eddie Bauer come at all divisions and levels of the company, said Eddie Bauer spokeswoman Lisa Erickson.",true
1,3179481,3179500,"This blackout was largely preventable, said Spencer Abraham, US energy secretary.","This blackout was largely preventable, Energy Secretary Spencer Abraham said at a press conference this afternoon.","This blackout was largely preventable, said Spencer Abraham, US energy secretary. This blackout was largely preventable, Energy Secretary Spencer Abraham said at a press conference this afternoon.",true
0,312392,312450,"Opposition to the bill has come from environmentalists, the Miccosukee Tribe, some scientists and members of Congress.","Besides a federal judge, the criticism has mounted from environmentalists, the Miccosukee Tribe, some scientists and some congressional leaders.","Opposition to the bill has come from environmentalists, the Miccosukee Tribe, some scientists and members of Congress. Besides a federal judge, the criticism has mounted from environmentalists, the Miccosukee Tribe, some scientists and some congressional leaders.",false
1,1380626,1381239,His dissent was joined by Chief Justice William H. Rehnquist and Justice Clarence Thomas.,Chief Justice William H. Rehnquist and Justices Antonin Scalia and Clarence Thomas dissented.,His dissent was joined by Chief Justice William H. Rehnquist and Justice Clarence Thomas. Chief Justice William H. Rehnquist and Justices Antonin Scalia and Clarence Thomas dissented.,true
1,960466,960881,"The bolt catcher is not as robust as it is supposed to be, the board's chairman, retired Adm. Hal Gehman, said.","The bolt catcher is not as robust as it should be, said retired Navy Admiral Harold W. Gehman Jr., the board chairman.","The bolt catcher is not as robust as it is supposed to be, the board's chairman, retired Adm. Hal Gehman, said. The bolt catcher is not as robust as it should be, said retired Navy Admiral Harold W. Gehman Jr., the board chairman.",true
1,501978,501929,One witness told Anatolian he saw the plane on fire while it was still in the air.,One witness told the Anatolian news agency he saw the plane on fire in mid-air.,One witness told Anatolian he saw the plane on fire while it was still in the air. One witness told the Anatolian news agency he saw the plane on fire in mid-air.,true
0,2690077,2690016,"Californias rate was 6.4 percent, down from a revised 6.7 percent in August and also down from the 6.7 percent posted in September 2002.","The statewide unemployment rate fell to 6.4 percent, down from a revised 6.7 percent in August.","Californias rate was 6.4 percent, down from a revised 6.7 percent in August and also down from the 6.7 percent posted in September 2002. The statewide unemployment rate fell to 6.4 percent, down from a revised 6.7 percent in August.",false
1,2396402,2396167,"Dick is going to be there as long as Dick wants to be there,"" Reuters reports Langone as saying.",Dick is going to be there as long as Dick wants to be there.,"Dick is going to be there as long as Dick wants to be there,"" Reuters reports Langone as saying. Dick is going to be there as long as Dick wants to be there.",true
1,57272,57252,"In case the company does not turn in the reports before the end of May, it is likely to be delisted, an SFC official said.","If the company did not turn in the results before the end of May, it was likely to be delisted, an SFC official said.","In case the company does not turn in the reports before the end of May, it is likely to be delisted, an SFC official said. If the company did not turn in the results before the end of May, it was likely to be delisted, an SFC official said.",true
1,1515035,1515071,"After what happened here ... it's tacky and unpatriotic, said JoAnn Marquis, visiting the site with her husband from Salem, Mass.","It's nasty, said JoAnn Marquis, visiting with her husband from Salem, Mass. ""After what happened here .","After what happened here ... it's tacky and unpatriotic, said JoAnn Marquis, visiting the site with her husband from Salem, Mass. It's nasty, said JoAnn Marquis, visiting with her husband from Salem, Mass. ""After what happened here .",true
1,3403347,3403527,"I just got carried away and started making stuff, Byrne said.","Byrne says he got carried away with PowerPoint and just ""started making stuff.""","I just got carried away and started making stuff, Byrne said. Byrne says he got carried away with PowerPoint and just ""started making stuff.""",true
1,2586233,2586269,Two women lost their battle in a British court yesterday to save their frozen embryos and use them to have children without the consent of their former partners.,Two British women lost a desperate court battle on Wednesday to have babies using frozen embryos their former partners want destroyed.,Two women lost their battle in a British court yesterday to save their frozen embryos and use them to have children without the consent of their former partners. Two British women lost a desperate court battle on Wednesday to have babies using frozen embryos their former partners want destroyed.,true
1,3237867,3237902,"The woman, Mary Kathryn Miller, 55, was arrested by the state police on Nov. 20 and charged with first-degree larceny.","Mary Kathryn Miller, 55, of 27 Devon Road, Darien, was arrested Nov. 20 by state police and charged with first-degree larceny.","The woman, Mary Kathryn Miller, 55, was arrested by the state police on Nov. 20 and charged with first-degree larceny. Mary Kathryn Miller, 55, of 27 Devon Road, Darien, was arrested Nov. 20 by state police and charged with first-degree larceny.",true
1,1934033,1933985,"Our own history should remind us that the union of democratic principle and practice is always a work in progress, Rice said in reference to Iraq.","Our own histories should remind us that the union of democratic principle and practice is always a work in progress, she said.","Our own history should remind us that the union of democratic principle and practice is always a work in progress, Rice said in reference to Iraq. Our own histories should remind us that the union of democratic principle and practice is always a work in progress, she said.",true
0,1796330,1795954,Officials at Mortazavi's office and the judiciary declined to respond to Reuters' requests for comment on the accusations.,Judiciary officials did not immediately respond to Reuters' requests for comment on the criticism of Mortazavi's appointment.,Officials at Mortazavi's office and the judiciary declined to respond to Reuters' requests for comment on the accusations. Judiciary officials did not immediately respond to Reuters' requests for comment on the criticism of Mortazavi's appointment.,false
0,2562000,2561942,"Previously, it had reported a profit of $12 million, or 0 cents a share, for that period.","Previously, it had reported a small profit of $12 million, or break-even on a per-share basis, for the period.","Previously, it had reported a profit of $12 million, or 0 cents a share, for that period. Previously, it had reported a small profit of $12 million, or break-even on a per-share basis, for the period.",false
1,3010424,3010442,"In a conference call with reporters, RNC Chairman Ed Gillespie said he sent the request to CBS Television President Leslie Moonves.",Republican National Committee Chairman Ed Gillespie issued a letter Friday to CBS Television President Leslie Moonves.,"In a conference call with reporters, RNC Chairman Ed Gillespie said he sent the request to CBS Television President Leslie Moonves. Republican National Committee Chairman Ed Gillespie issued a letter Friday to CBS Television President Leslie Moonves.",true
1,3209548,3209513,"Here's what happened: I go to their Web site and start complaining to them, would you please, please, please stop bothering me, he said. ""","I go to their website and start complaining to them, would you please, please, please stop bothering me, Mr. Booher told a reporter.","Here's what happened: I go to their Web site and start complaining to them, would you please, please, please stop bothering me, he said. "" I go to their website and start complaining to them, would you please, please, please stop bothering me, Mr. Booher told a reporter.",true
0,554905,554627,Claire had advanced to the third round of the 76th annual Scripps Howard National Spelling Bee.,"One by one they strolled to the microphone, all 251 youngsters in the 76th Scripps Howard National Spelling Bee.","Claire had advanced to the third round of the 76th annual Scripps Howard National Spelling Bee. One by one they strolled to the microphone, all 251 youngsters in the 76th Scripps Howard National Spelling Bee.",false
0,2768381,2768348,"Italian Prime Minister Silvio Berlusconi, whose country holds the rotating EU presidency, said he was prepared to call another meeting of leaders next month.","Italian Prime Minister Silvio Berlusconi, chairing the summit, said he was prepared to call an extra informal meeting of leaders next month on the constitution if necessary.","Italian Prime Minister Silvio Berlusconi, whose country holds the rotating EU presidency, said he was prepared to call another meeting of leaders next month. Italian Prime Minister Silvio Berlusconi, chairing the summit, said he was prepared to call an extra informal meeting of leaders next month on the constitution if necessary.",false
1,2313849,2313797,"Events on our system, in and of themselves, could not account for the widespread nature of the outage, FirstEnergy Chief Executive Peter Burg told the House panel.","Events on our system, in and of themselves, could not account for the widespread nature of the outage, Burg said.","Events on our system, in and of themselves, could not account for the widespread nature of the outage, FirstEnergy Chief Executive Peter Burg told the House panel. Events on our system, in and of themselves, could not account for the widespread nature of the outage, Burg said.",true
0,2631000,2630970,Companies that fall under that definition are subject to much less stringent regulation.,"Phone companies, which have argued that DSL should be subject to less regulation, had mixed reaction.","Companies that fall under that definition are subject to much less stringent regulation. Phone companies, which have argued that DSL should be subject to less regulation, had mixed reaction.",false
1,3035916,3035786,"He added that we are ""not going to make progress if we don't broaden the tent.""",He added Democrats are not going to make progress if we dont broaden the tent.,"He added that we are ""not going to make progress if we don't broaden the tent."" He added Democrats are not going to make progress if we dont broaden the tent.",true
1,2423623,2423339,That exploit works on unpatched Windows 2000 machines with Service Pack 3 and 4.,Both Counterpane and iDefense contend that the exploit works effectively against Windows 2000 systems running Service Pack 3 and 4.,That exploit works on unpatched Windows 2000 machines with Service Pack 3 and 4. Both Counterpane and iDefense contend that the exploit works effectively against Windows 2000 systems running Service Pack 3 and 4.,true
1,467443,467517,"The TAAD and SAR-x chips are priced from $125 to $300 in quantities of 10,000.","The products are priced at $575 and $295 in quantities of 10,000.","The TAAD and SAR-x chips are priced from $125 to $300 in quantities of 10,000. The products are priced at $575 and $295 in quantities of 10,000.",true
1,1438658,1438633,"Werdegar also said Intel's servers were not harmed by the computer messages and the thousands of recipients were able to request that the e-mails stop, which Hamidi honored.","She also noted that Intel's servers were not harmed and that the thousands of Hamidi e-mail recipients were able to request that the e-mails stop, which Hamidi honored.","Werdegar also said Intel's servers were not harmed by the computer messages and the thousands of recipients were able to request that the e-mails stop, which Hamidi honored. She also noted that Intel's servers were not harmed and that the thousands of Hamidi e-mail recipients were able to request that the e-mails stop, which Hamidi honored.",true
0,2373715,2373669,"Water management officials in Florida were worried about some of the already-swollen rivers and lakes, because a direct hit from a hurricane could cause severe flooding.",Water management officials in Florida were worried about the storm's possible effect on some of their already-swollen rivers and lakes.,"Water management officials in Florida were worried about some of the already-swollen rivers and lakes, because a direct hit from a hurricane could cause severe flooding. Water management officials in Florida were worried about the storm's possible effect on some of their already-swollen rivers and lakes.",false
1,3003536,3003613,"September and third-quarter data confirm that demand in the global semiconductor market is rising briskly, George Scalise, the SIA's president, said in the statement.","September and third quarter data confirm that demand in the global semiconductor market is rising briskly, stated SIA President George Scalise, in a statement.","September and third-quarter data confirm that demand in the global semiconductor market is rising briskly, George Scalise, the SIA's president, said in the statement. September and third quarter data confirm that demand in the global semiconductor market is rising briskly, stated SIA President George Scalise, in a statement.",true
0,985015,984975,"One way or another, Harry Potter And The Order Of The Phoenix will be in your hands by Saturday.","Just about everything about ""Harry Potter and the Order of the Phoenix"" will set records.","One way or another, Harry Potter And The Order Of The Phoenix will be in your hands by Saturday. Just about everything about ""Harry Potter and the Order of the Phoenix"" will set records.",false
1,881566,881614,"The girl turned up late Sunday at a convenience store in East Palo Alto, about 30 miles from her home.",The girl turned up late Sunday night at an East Palo Alto convenience store about 30 miles from her home.,"The girl turned up late Sunday at a convenience store in East Palo Alto, about 30 miles from her home. The girl turned up late Sunday night at an East Palo Alto convenience store about 30 miles from her home.",true
0,1708655,1708561,"First, it's found in most versions of Windows, including the new Windows Server 2003.","It is the first ""critical"" flaw discovered and fixed in the new Windows Server 2003.","First, it's found in most versions of Windows, including the new Windows Server 2003. It is the first ""critical"" flaw discovered and fixed in the new Windows Server 2003.",false
1,2706577,2706249,No charges have been filed in the deaths of the other victims; Lupas said authorities were making progress in the case.,"No charges have been filed in those deaths, but prosecutor David Lupas said authorities were making progress in the case.","No charges have been filed in the deaths of the other victims; Lupas said authorities were making progress in the case. No charges have been filed in those deaths, but prosecutor David Lupas said authorities were making progress in the case.",true
1,726966,726945,"In the 2002 study, the margin of error ranged from 1.8 to 4.4 percentage points.",It has a margin of error of plus or minus three to four percentage points.,"In the 2002 study, the margin of error ranged from 1.8 to 4.4 percentage points. It has a margin of error of plus or minus three to four percentage points.",true
0,1239811,1239812,A divided Supreme Court ruled that Congress can force the nation's public libraries to equip computers with anti-pornography filters.,"The Supreme Court said Monday the government can require public libraries to equip computers with anti-pornography filters, rejecting librarians' complaints that the law amounts to censorship.","A divided Supreme Court ruled that Congress can force the nation's public libraries to equip computers with anti-pornography filters. The Supreme Court said Monday the government can require public libraries to equip computers with anti-pornography filters, rejecting librarians' complaints that the law amounts to censorship.",false
0,2728425,2728251,"It decided instead to issue them before the stock market opened Monday after the downgrade of its debt late Friday by Moody's, the credit rating agency.",It decided instead to issue them before the stock market opened Monday to counteract the downgrade of its debt late Friday by Moody's to one step above junk status.,"It decided instead to issue them before the stock market opened Monday after the downgrade of its debt late Friday by Moody's, the credit rating agency. It decided instead to issue them before the stock market opened Monday to counteract the downgrade of its debt late Friday by Moody's to one step above junk status.",false
1,1219440,1219610,"Axelrod died in his sleep of heart failure, said his daughter, Nina Axelrod.","Axelrod died of heart failure while asleep at his Los Angeles home, said his daughter, Nina Axelrod.","Axelrod died in his sleep of heart failure, said his daughter, Nina Axelrod. Axelrod died of heart failure while asleep at his Los Angeles home, said his daughter, Nina Axelrod.",true
1,2663667,2663623,"In Canada, the booming dollar will be in focus again as it tries to stay above the 75 cent (U.S.) mark.","In Canada, the surging dollar was in focus again as it struggled and just failed to stay above the 75 cent (U.S.) mark.","In Canada, the booming dollar will be in focus again as it tries to stay above the 75 cent (U.S.) mark. In Canada, the surging dollar was in focus again as it struggled and just failed to stay above the 75 cent (U.S.) mark.",true
1,512669,512160,"Gov. Rick Perry has said that while he opposes gambling expansion, he would be reluctant to veto continuation of the Lottery Commission.","Gov. Rick Perry opposes expansion of gambling but has said he would be ""hard-pressed"" to veto the lottery sunset bill.","Gov. Rick Perry has said that while he opposes gambling expansion, he would be reluctant to veto continuation of the Lottery Commission. Gov. Rick Perry opposes expansion of gambling but has said he would be ""hard-pressed"" to veto the lottery sunset bill.",true
1,2758944,2758975,Its closest living relatives are a family frogs called sooglossidae that are found only in the Seychelles in the Indian Ocean.,"Its closest relative is found in the Seychelles Archipelago, near Madagascar in the Indian Ocean.","Its closest living relatives are a family frogs called sooglossidae that are found only in the Seychelles in the Indian Ocean. Its closest relative is found in the Seychelles Archipelago, near Madagascar in the Indian Ocean.",true
1,1438096,1437645,"In Europe, France's CAC-40 fell 0.8 percent, Britain's FTSE 100 lost 0.9 percent and Germany's DAX index gave back 1 percent.","In afternoon trading in Europe, France's CAC-40 fell 1.6 percent, Britain's FTSE 100 dropped 1.2 percent and Germany's DAX index lost 1.9 percent.","In Europe, France's CAC-40 fell 0.8 percent, Britain's FTSE 100 lost 0.9 percent and Germany's DAX index gave back 1 percent. In afternoon trading in Europe, France's CAC-40 fell 1.6 percent, Britain's FTSE 100 dropped 1.2 percent and Germany's DAX index lost 1.9 percent.",true
1,1921373,1921407,"But at age 15, she'd reached 260 pounds and a difficult decision: It was time to try surgery.","But at the age of 15, she weighed a whopping 117kg and came to a difficult decision: it was time to try surgery.","But at age 15, she'd reached 260 pounds and a difficult decision: It was time to try surgery. But at the age of 15, she weighed a whopping 117kg and came to a difficult decision: it was time to try surgery.",true
1,533903,533818,"We are committed to helping the Iraqi people get on the path to a free society, Rumsfeld said in a speech to the Council on Foreign Relations.","We are committed to helping the Iraqi people get on the path to a free society, he said.","We are committed to helping the Iraqi people get on the path to a free society, Rumsfeld said in a speech to the Council on Foreign Relations. We are committed to helping the Iraqi people get on the path to a free society, he said.",true
1,1757060,1756887,"He would often call me for advice, said Ronald L. Kuby, a friend and well-known lawyer who had represented him in the harassment case.","He would often call me for advice, said lawyer Ron Kuby, a friend who had represented him in court.","He would often call me for advice, said Ronald L. Kuby, a friend and well-known lawyer who had represented him in the harassment case. He would often call me for advice, said lawyer Ron Kuby, a friend who had represented him in court.",true
0,2832331,2832384,"Though that slower spending made 2003 look better, many of the expenditures actually will occur in 2004.","Though that slower spending made 2003 look better, many of the expenditures will actually occur in 2004, making that year's shortfall worse.","Though that slower spending made 2003 look better, many of the expenditures actually will occur in 2004. Though that slower spending made 2003 look better, many of the expenditures will actually occur in 2004, making that year's shortfall worse.",false
0,637337,637102,"McBride dismissed Novell's Unix ownership claims as ""a desperate measure to curry favor with the Linux community.""","We strongly disagree with Novell's position and view it as a desperate measure to curry favor with the Linux community, McBride said.","McBride dismissed Novell's Unix ownership claims as ""a desperate measure to curry favor with the Linux community."" We strongly disagree with Novell's position and view it as a desperate measure to curry favor with the Linux community, McBride said.",false
1,2942566,2942638,SCC argued that Lexmark was trying to shield itself from competition by installing a chip on its toner cartridges to make it difficult for third-party manufacturers to make generic cartridges.,The company also argued that Lexmark was trying to squash competition by installing a microchip on its toner cartridges to make it difficult for third-party manufacturers to make generic cartridges.,SCC argued that Lexmark was trying to shield itself from competition by installing a chip on its toner cartridges to make it difficult for third-party manufacturers to make generic cartridges. The company also argued that Lexmark was trying to squash competition by installing a microchip on its toner cartridges to make it difficult for third-party manufacturers to make generic cartridges.,true
0,2242377,2242625,"The benchmark 10-year note US10YT=RR slipped 16/32 in price, sending its yield to 4.48 percent from 4.42 percent late on Thursday.",The yield on the 10-year Treasury note rose to 4.46% from 4.42% late Thursday.,"The benchmark 10-year note US10YT=RR slipped 16/32 in price, sending its yield to 4.48 percent from 4.42 percent late on Thursday. The yield on the 10-year Treasury note rose to 4.46% from 4.42% late Thursday.",false
0,2916199,2916164,Lu reclined in a soft chair wearing a woolly coat near the blackened capsule.,"It's great to be back home, said Lu, dressed in a woolly coat near the blackened capsule.","Lu reclined in a soft chair wearing a woolly coat near the blackened capsule. It's great to be back home, said Lu, dressed in a woolly coat near the blackened capsule.",false
1,3014183,3014149,"If the subsidies are not repealed, the European Union is threatening trade sanctions against the United States.",The European Union is threatening trade sanctions unless the subsidies are repealed.,"If the subsidies are not repealed, the European Union is threatening trade sanctions against the United States. The European Union is threatening trade sanctions unless the subsidies are repealed.",true
1,407297,407281,The study found that only about one-third of parents of sexually experienced 14-year-olds knew their children were having sex.,"Only about one-third of parents of sexually experienced 14-year-olds know that their child has had sex,"" the report says.","The study found that only about one-third of parents of sexually experienced 14-year-olds knew their children were having sex. Only about one-third of parents of sexually experienced 14-year-olds know that their child has had sex,"" the report says.",true
1,1116151,1116373,"The rioters shot one person in the shoulder and beat and stabbed others, police said.",On Tuesday night rioters shot one person in the shoulder and beat or stabbed others.,"The rioters shot one person in the shoulder and beat and stabbed others, police said. On Tuesday night rioters shot one person in the shoulder and beat or stabbed others.",true
1,1414523,1414461,Roslyn shares gained 82 cents to close at $20.79 yesterday in Nasdaq trading.,"In recent dealings, shares of Roslyn were up 40 cents, or 1.9 percent, to $21.25.","Roslyn shares gained 82 cents to close at $20.79 yesterday in Nasdaq trading. In recent dealings, shares of Roslyn were up 40 cents, or 1.9 percent, to $21.25.",true
1,2546178,2546202,"If I was diagnosed today with CJD, I would ensure I received this treatment as soon as humanly possible.	He added that if he were diagnosed with vCJD I would ensure I received this treatment as soon as humanly possible"".",,,true
1,1789130,1789041,"SCO intends to provide them with choices to help them run Linux in a legal and fully paid-for way, he said.","We intend to provide them with choices to help them run Linux in a legal and fully-paid for way.""","SCO intends to provide them with choices to help them run Linux in a legal and fully paid-for way, he said. We intend to provide them with choices to help them run Linux in a legal and fully-paid for way.""",true
1,1809381,1809368,"The federal government intends to introduce legislation later this year that will ban unsolicited commercial e-mail, the Minister for Communications and Information Technology, Senator Richard Alston announced today.","Australia will introduce legislation later this year to ban spam, the Minister for Communications, Information Technology and the Arts, Senator Richard Alston, announced today.","The federal government intends to introduce legislation later this year that will ban unsolicited commercial e-mail, the Minister for Communications and Information Technology, Senator Richard Alston announced today. Australia will introduce legislation later this year to ban spam, the Minister for Communications, Information Technology and the Arts, Senator Richard Alston, announced today.",true
