paraphrase,id1,id2,sentence1,sentence2,text,is_paraphrase
1,2529415,2529304,His protest led to a 47-hour standoff with police that caused huge traffic jams in downtown Washington and northern Virginia.,His protest triggered a 47-hour standoff with police that led to huge traffic jams as commuters backed up in downtown Washington and Northern Virginia.,His protest led to a 47-hour standoff with police that caused huge traffic jams in downtown Washington and northern Virginia. His protest triggered a 47-hour standoff with police that led to huge traffic jams as commuters backed up in downtown Washington and Northern Virginia.,True
1,424702,424628,"SSE shares were little changed, up 0.3 percent at 654 pence by 1018 GMT, but analysts welcomed the move.",SSE shares were unchanged at 652 pence by 0835 GMT but analysts welcomed the deal.,"SSE shares were little changed, up 0.3 percent at 654 pence by 1018 GMT, but analysts welcomed the move. SSE shares were unchanged at 652 pence by 0835 GMT but analysts welcomed the deal.",True
0,329403,329927,"Energy prices dropped by 8.6 percent, the biggest decline since July 1986.","Excluding food and energy prices, the PPI fell 0.9 per cent, the biggest drop since August 1993.","Energy prices dropped by 8.6 percent, the biggest decline since July 1986. Excluding food and energy prices, the PPI fell 0.9 per cent, the biggest drop since August 1993.",False
1,2922492,2922548,He also worked in the Virginia attorney general's office.,"Before that he held various posts in Virginia, including deputy attorney general.","He also worked in the Virginia attorney general's office. Before that he held various posts in Virginia, including deputy attorney general.",True
0,987739,987595,"Justice Clarence Thomas, joined by fellow conservative Justice Antonin Scalia, dissented.","Justice Antonin Scalia, Sandra Day O'Connor and Clarence Thomas dissented from the ruling.","Justice Clarence Thomas, joined by fellow conservative Justice Antonin Scalia, dissented. Justice Antonin Scalia, Sandra Day O'Connor and Clarence Thomas dissented from the ruling.",False
1,305630,305407,"The decades-long conflict has killed more than 10,000 people in the resource-rich province, most of them civilians.","More than 10,000 people, most of them civilians, have been killed in three decades of insurgency.","The decades-long conflict has killed more than 10,000 people in the resource-rich province, most of them civilians. More than 10,000 people, most of them civilians, have been killed in three decades of insurgency.",True
0,2222971,2223124,"The venture owns five oil refineries and more than 2,100 filling stations in Russia and Ukraine.","TNK-BP has six oil producing units, five refineries and 2,100 filling stations.","The venture owns five oil refineries and more than 2,100 filling stations in Russia and Ukraine. TNK-BP has six oil producing units, five refineries and 2,100 filling stations.",False
0,977772,977804,"The Lord Chancellor was guardian of the Great Seal, used to stamp all official documents from the sovereign.","Falconer will hold on, for now, to the Lord Chancellor's Great Seal, used to sign off instructions from the sovereign.","The Lord Chancellor was guardian of the Great Seal, used to stamp all official documents from the sovereign. Falconer will hold on, for now, to the Lord Chancellor's Great Seal, used to sign off instructions from the sovereign.",False
1,1279586,1279614,"Analysts surveyed by Reuters Research had been looking for, on average, revenue of $723 million and a loss of 28 cents a share.",Analysts surveyed by First Call were expecting sales of $723 million and a loss of 28 cents a share.,"Analysts surveyed by Reuters Research had been looking for, on average, revenue of $723 million and a loss of 28 cents a share. Analysts surveyed by First Call were expecting sales of $723 million and a loss of 28 cents a share.",True
1,1018730,1018788,"IBM stock rose $1.75, to $84.50, on the New York Stock Exchange.","IBM shares closed up $1.75, or 2.11 percent, at $84.50 on the New York Stock Exchange.","IBM stock rose $1.75, to $84.50, on the New York Stock Exchange. IBM shares closed up $1.75, or 2.11 percent, at $84.50 on the New York Stock Exchange.",True
1,129995,129864,"Morgan Stanley raised its rating on the beverage maker to ""overweight"" from ""equal-weight"" saying in part that pricing power with its bottlers should improve in 2004.","Morgan Stanley raised its rating on the company to ""overweight"" from ""equal-weight,"" saying the beverage maker's pricing power with bottlers should improve in 2004.","Morgan Stanley raised its rating on the beverage maker to ""overweight"" from ""equal-weight"" saying in part that pricing power with its bottlers should improve in 2004. Morgan Stanley raised its rating on the company to ""overweight"" from ""equal-weight,"" saying the beverage maker's pricing power with bottlers should improve in 2004.",True
1,487738,487702,Investors are taking heed of the latest warning from Japan's top financial diplomat Zembei Mizoguchi that Japan would act to prevent excessive swings in rates.,Investors kept in mind Tuesday's warning from Japan's top financial diplomat Zembei Mizoguchi that Japan would act to prevent excessive swings in currency rates.,Investors are taking heed of the latest warning from Japan's top financial diplomat Zembei Mizoguchi that Japan would act to prevent excessive swings in rates. Investors kept in mind Tuesday's warning from Japan's top financial diplomat Zembei Mizoguchi that Japan would act to prevent excessive swings in currency rates.,True
1,1520228,1520194,"We don't have new places to check, said Steve Anderson, a Waco public-information officer.","We don't have new places to check, Waco public information officer Steve Anderson said.","We don't have new places to check, said Steve Anderson, a Waco public-information officer. We don't have new places to check, Waco public information officer Steve Anderson said.",True
1,1382183,1381827,Justice Anthony Kennedy dissented in an opinion joined by Chief Justice William Rehnquist and Justices Antonin Scalia and Clarence Thomas.,He was joined by Chief Justice William H. Rehnquist and Justices Antonin Scalia and Clarence Thomas.,Justice Anthony Kennedy dissented in an opinion joined by Chief Justice William Rehnquist and Justices Antonin Scalia and Clarence Thomas. He was joined by Chief Justice William H. Rehnquist and Justices Antonin Scalia and Clarence Thomas.,True
1,2494381,2494531,The FTC also asked the judge to suspend his ruling pending its appeal.,The FTC asked the court Wednesday to block the ruling and filed for an appeal.,The FTC also asked the judge to suspend his ruling pending its appeal. The FTC asked the court Wednesday to block the ruling and filed for an appeal.,True
1,2433757,2433838,Prime Minister Junichiro Koizumi must be counting his lucky stars.,Prime Minister Junichiro Koizumi has all but popped the champagne bottle.,Prime Minister Junichiro Koizumi must be counting his lucky stars. Prime Minister Junichiro Koizumi has all but popped the champagne bottle.,True
0,2414757,2414471,"For the first time starting Thursday, all four pages of the Constitution will be on view instead of just the first and last pages.","And for the first time, all four pages of the Constitution will be on permanent display.","For the first time starting Thursday, all four pages of the Constitution will be on view instead of just the first and last pages. And for the first time, all four pages of the Constitution will be on permanent display.",False
1,163189,163240,"A total of 17 cases have been confirmed in the southern city of Basra, the Organization said.",A total of 17 confirmed cases of cholera were reported yesterday by the World Health Organisation in the southern Iraqi city of Basra.,"A total of 17 cases have been confirmed in the southern city of Basra, the Organization said. A total of 17 confirmed cases of cholera were reported yesterday by the World Health Organisation in the southern Iraqi city of Basra.",True
1,2827562,2827543,"The deal will combine Adobe's Form Server, Form Designer and Reader products with IBM's DB2 Content Manager and DB2 CommonStore products.","Big Blue will integrate Adobe's Form Server, Form Designer and Reader products with its DB2 Content Manager and DB2 CommonStore products designed for businesses.","The deal will combine Adobe's Form Server, Form Designer and Reader products with IBM's DB2 Content Manager and DB2 CommonStore products. Big Blue will integrate Adobe's Form Server, Form Designer and Reader products with its DB2 Content Manager and DB2 CommonStore products designed for businesses.",True
1,2894851,2894608,"That ought to be the standard — not how many people sign up,"" he said.","That ought to be the standard, not how many people actually signed up, Mr. Rule told the judge.","That ought to be the standard — not how many people sign up,"" he said. That ought to be the standard, not how many people actually signed up, Mr. Rule told the judge.",True
0,131787,132098,"But Nelson claims he did it because he was drunk on beer, not because Rosenbaum was jewish.","Those two witnesses say that Nelson confessed to killing Rosenbaum, but claimed he did it because he was drunk on beer.","But Nelson claims he did it because he was drunk on beer, not because Rosenbaum was jewish. Those two witnesses say that Nelson confessed to killing Rosenbaum, but claimed he did it because he was drunk on beer.",False
0,53579,53653,"In next week's drill, ""our objective is to improve the nation's capacity to save lives in ... a terrorist event,"" Ridge said.","Our objective is to improve the nation's capacity to save lives in ... a terrorist event, including use of weapons of mass destruction, Ridge said.","In next week's drill, ""our objective is to improve the nation's capacity to save lives in ... a terrorist event,"" Ridge said. Our objective is to improve the nation's capacity to save lives in ... a terrorist event, including use of weapons of mass destruction, Ridge said.",False
1,3317938,3317904,"The sentence reflects the seriousness with which our office and the courts views these crimes, Spitzer said in a statement.","Mr. Spitzer said in a statement that the sentence ""reflects the seriousness with which our office and the courts view these crimes.""","The sentence reflects the seriousness with which our office and the courts views these crimes, Spitzer said in a statement. Mr. Spitzer said in a statement that the sentence ""reflects the seriousness with which our office and the courts view these crimes.""",True
0,786531,786685,"From that point until costs reached $5,300, the individual would pay 100 percent of the bill.","Above that, Medicare would pay 90 percent of all drug costs.","From that point until costs reached $5,300, the individual would pay 100 percent of the bill. Above that, Medicare would pay 90 percent of all drug costs.",False
1,2760853,2760820,"Both figures were below consensus expectations, but August sales were revised to a 1.2 percent increase from a previously reported 0.6 percent gain, fueling a dollar rally.","But August sales were revised to a 1.2 percent increase from a previously reported 0.6 percent gain, fuelling a dollar rally.","Both figures were below consensus expectations, but August sales were revised to a 1.2 percent increase from a previously reported 0.6 percent gain, fueling a dollar rally. But August sales were revised to a 1.2 percent increase from a previously reported 0.6 percent gain, fuelling a dollar rally.",True
1,2903876,2904035,He had said before the meeting that he planned to urge Chinese officials to move quickly to adopt a more flexible currency system.,He has said he plans to urge Chinese officials during the G20 meeting to move more quickly to adopt a more flexible currency system.,He had said before the meeting that he planned to urge Chinese officials to move quickly to adopt a more flexible currency system. He has said he plans to urge Chinese officials during the G20 meeting to move more quickly to adopt a more flexible currency system.,True
1,2696432,2696850,I think there's a little hope invested in McNabb and he got a lot of credit for the performance of his team that he really didn't deserve.,"There is a little hope invested in McNabb, and he got a lot of credit for the performance of this team that he didn't deserve.""","I think there's a little hope invested in McNabb and he got a lot of credit for the performance of his team that he really didn't deserve. There is a little hope invested in McNabb, and he got a lot of credit for the performance of this team that he didn't deserve.""",True
1,960331,960580,The problem likely will mean corrective changes before the shuttle fleet starts flying again.,He said the problem needs to be corrected before the space shuttle fleet is cleared to fly again.,The problem likely will mean corrective changes before the shuttle fleet starts flying again. He said the problem needs to be corrected before the space shuttle fleet is cleared to fly again.,True
1,1450152,1450239,"Labor's Julia Gillard said it was a ""major failure of coastal surveillance"".","Opposition politicians have described it as a ""major failure in coastal surveillance"".","Labor's Julia Gillard said it was a ""major failure of coastal surveillance"". Opposition politicians have described it as a ""major failure in coastal surveillance"".",True
1,129988,130086,"The broad Standard & Poor's 500 Index <.SPX> lost 6 points, or 0.71 percent, to 927.",The broad Standard & Poors 500-stock index was down 4.77 points to 929.62.,"The broad Standard & Poor's 500 Index <.SPX> lost 6 points, or 0.71 percent, to 927. The broad Standard & Poors 500-stock index was down 4.77 points to 929.62.",True
1,3113886,3113811,"But while Microsoft's share of the low-end server software market has increased since the EU's investigation started five years ago, the firm has denied anti-competitive practices are to blame.","Microsoft's share of the low-end server software market has increased since the probe started five years ago, but the firm denied anti-competitive practices were the reason for this.","But while Microsoft's share of the low-end server software market has increased since the EU's investigation started five years ago, the firm has denied anti-competitive practices are to blame. Microsoft's share of the low-end server software market has increased since the probe started five years ago, but the firm denied anti-competitive practices were the reason for this.",True
1,3214358,3214672,"Burns believed that confessing a crime he did not commit was the only way out, Richardson said.","To the frightened Burns, Richardson said, confessing a crime he did not commit looked like the only out.","Burns believed that confessing a crime he did not commit was the only way out, Richardson said. To the frightened Burns, Richardson said, confessing a crime he did not commit looked like the only out.",True
0,970740,971209,"Friday, Stanford (47-15) blanked the Gamecocks 8-0.",Stanford (46-15) has a team full of such players this season.,"Friday, Stanford (47-15) blanked the Gamecocks 8-0. Stanford (46-15) has a team full of such players this season.",False
1,2828314,2828036,"Boykin’s also referred to Islamist fighters as America’s “spiritual enemy” that, “will only be defeated if we come against them in the name of Jesus”.","Our ""spiritual enemy,"" Boykin continued, ""will only be defeated if we come against them in the name of Jesus.""","Boykin’s also referred to Islamist fighters as America’s “spiritual enemy” that, “will only be defeated if we come against them in the name of Jesus”. Our ""spiritual enemy,"" Boykin continued, ""will only be defeated if we come against them in the name of Jesus.""",True
0,699979,700005,"The Institute for Supply Management said its manufacturing index was 49.4 percent last month, up from 45.4 in April.","The Institute for Supply Management's manufacturing index rose to 49.4 in May from 45.4 in April, the biggest monthly gain since December.","The Institute for Supply Management said its manufacturing index was 49.4 percent last month, up from 45.4 in April. The Institute for Supply Management's manufacturing index rose to 49.4 in May from 45.4 in April, the biggest monthly gain since December.",False
1,1771134,1771094,"The S3C2440 CPU supports major operating systems including Microsoft Windows CE/Pocket PC, Palm OS, Symbian, and Linux.","It supports the Windows CE, Palm, Symbian, and Linux operating systems.","The S3C2440 CPU supports major operating systems including Microsoft Windows CE/Pocket PC, Palm OS, Symbian, and Linux. It supports the Windows CE, Palm, Symbian, and Linux operating systems.",True
1,758278,758048,Congress twice before passed similar restrictions only to see President Bill Clinton veto them.,"Congress twice passed similar bills, but then-President Clinton vetoed them both times.","Congress twice before passed similar restrictions only to see President Bill Clinton veto them. Congress twice passed similar bills, but then-President Clinton vetoed them both times.",True
1,1881955,1882013,"Dennehy's family reported him missing June 19, seven days after he was last seen on campus.","Dennehy’s family reported him missing June 19, about a week after he was last seen on the Baylor campus in Waco.","Dennehy's family reported him missing June 19, seven days after he was last seen on campus. Dennehy’s family reported him missing June 19, about a week after he was last seen on the Baylor campus in Waco.",True
1,144089,143697,The 12-nation currency has risen by 33 percent against the dollar over the past 15 months.,The euro is up 9 percent against the dollar in the past six weeks.,The 12-nation currency has risen by 33 percent against the dollar over the past 15 months. The euro is up 9 percent against the dollar in the past six weeks.,True
1,2891280,2891366,"Mrs Boncyk's husband, Wayne, had taken the family car to work, so his wife and children had to ride with neighbours.","Mrs. Boncyk's husband, Wayne, had taken the family's only car to work, so she and the children had to catch a ride with neighbors.","Mrs Boncyk's husband, Wayne, had taken the family car to work, so his wife and children had to ride with neighbours. Mrs. Boncyk's husband, Wayne, had taken the family's only car to work, so she and the children had to catch a ride with neighbors.",True
0,3270421,3270325,"At 10 p.m., Odette was centered about 295 miles south-southeast of Kingston, Jamaica, and was moving northeast near 8 mph.","At 10 p.m. Thursday, Odette was about 295 miles south-southeast of Kingston, Jamaica and about 900 miles south-southeast of Palm Beach.","At 10 p.m., Odette was centered about 295 miles south-southeast of Kingston, Jamaica, and was moving northeast near 8 mph. At 10 p.m. Thursday, Odette was about 295 miles south-southeast of Kingston, Jamaica and about 900 miles south-southeast of Palm Beach.",False
0,2750584,2750617,Civilian reservists also could be sent overseas for jobs such as the reconstruction of Afghanistan and Iraq.,"Civilian reservists also could be sent overseas for jobs such as reconstruction in Afghanistan and Iraq, working in positions from translator to truck driver.","Civilian reservists also could be sent overseas for jobs such as the reconstruction of Afghanistan and Iraq. Civilian reservists also could be sent overseas for jobs such as reconstruction in Afghanistan and Iraq, working in positions from translator to truck driver.",False
0,684942,684976,"At that time I didn't agree, because the people who will be the victims are schoolchildren and security, he says.","In a generous gesture of uncharacteristic compassion, Samudra claims: ""At that time I didn't agree because the people who will be the victims are schoolchildren"".","At that time I didn't agree, because the people who will be the victims are schoolchildren and security, he says. In a generous gesture of uncharacteristic compassion, Samudra claims: ""At that time I didn't agree because the people who will be the victims are schoolchildren"".",False
1,425412,425310,The survey that found it covered only a narrow slice of the sky.,The survey which uncovered the star only covered a narrow slice of the sky.,The survey that found it covered only a narrow slice of the sky. The survey which uncovered the star only covered a narrow slice of the sky.,True
1,2394676,2394690,"The Republic of Korea was found to lead the way in broadband penetration, with approximately 21 broadband subscribers for every 100 inhabitants.","Not surprisingly, broadband nation Korea leads the way in broadband penetration, with approximately 21 broadband subscribers for every 100 inhabitants.","The Republic of Korea was found to lead the way in broadband penetration, with approximately 21 broadband subscribers for every 100 inhabitants. Not surprisingly, broadband nation Korea leads the way in broadband penetration, with approximately 21 broadband subscribers for every 100 inhabitants.",True
1,886618,886456,"Rumsfeld, who has been feuding for two years with Army leadership, passed over nine active-duty four-star generals.","Rumsfeld has been feuding for a long time with Army leadership, and he passed over nine active-duty four-star generals.","Rumsfeld, who has been feuding for two years with Army leadership, passed over nine active-duty four-star generals. Rumsfeld has been feuding for a long time with Army leadership, and he passed over nine active-duty four-star generals.",True
0,3428580,3428605,"The family stopped for lunch at Freshwater Spit, where several children went to the water's edge to play in the surf shortly after noon.","Several children, including the 8-year-old, went down to the water's edge to play in the surf.","The family stopped for lunch at Freshwater Spit, where several children went to the water's edge to play in the surf shortly after noon. Several children, including the 8-year-old, went down to the water's edge to play in the surf.",False
1,2759796,2759805,"On the upside, Coca-Cola Co. (nyse: KO - news - people) reported higher profit for the quarter early on Thursday, helped by European demand.","Coca-Cola Co. (KO) reported higher profit for the quarter, helped by European demand, early on Thursday.","On the upside, Coca-Cola Co. (nyse: KO - news - people) reported higher profit for the quarter early on Thursday, helped by European demand. Coca-Cola Co. (KO) reported higher profit for the quarter, helped by European demand, early on Thursday.",True
1,450436,450532,"But butterflies exposed to an earlier light cycle, from 1am to 1pm, orientated themselves towards the south-east.","But butterflies housed under an earlier light cycle, 1 a.m. to 1 p.m., flew toward the southeast.","But butterflies exposed to an earlier light cycle, from 1am to 1pm, orientated themselves towards the south-east. But butterflies housed under an earlier light cycle, 1 a.m. to 1 p.m., flew toward the southeast.",True
1,2033467,2033490,"Furthermore, Bremer estimated that as many as 200 operatives from the extremist group Ansar al-Islam have slipped back into the country since May 1.","Furthermore, Mr Bremer said that as many as 200 operatives from the extremist group Ansar al Islam had slipped back into the country since May 1.","Furthermore, Bremer estimated that as many as 200 operatives from the extremist group Ansar al-Islam have slipped back into the country since May 1. Furthermore, Mr Bremer said that as many as 200 operatives from the extremist group Ansar al Islam had slipped back into the country since May 1.",True
1,3320834,3320891,"To make sure that we avoided any perception of wrongdoing, we are not co-mingling appropriated and non-appropriated funds (from Congress), said Faletti.","To make sure that we avoided any perception of wrongdoing, we are not comingling appropriated and nonappropriated funds [from Congress], said Faletti.","To make sure that we avoided any perception of wrongdoing, we are not co-mingling appropriated and non-appropriated funds (from Congress), said Faletti. To make sure that we avoided any perception of wrongdoing, we are not comingling appropriated and nonappropriated funds [from Congress], said Faletti.",True
1,2733361,2733225,"With an estimated net worth of $1.7 billion, Mrs. Kroc ranked No. 121 on Forbes magazine's latest list of the nation's wealthiest people.","Kroc ranked No. 121 on Forbes magazine's latest list of the nation's wealthiest people, with an estimated net worth of $1.7 billion.","With an estimated net worth of $1.7 billion, Mrs. Kroc ranked No. 121 on Forbes magazine's latest list of the nation's wealthiest people. Kroc ranked No. 121 on Forbes magazine's latest list of the nation's wealthiest people, with an estimated net worth of $1.7 billion.",True
0,57271,57251,The Taiwan Stock Exchange will ask the Securities and Futures Commission (SFC) to suspend trading in Mosel shares.,A request for a two-month extension was denied and the Taiwan Stock Exchange is to ask the Securities and Futures Commission (SFC) to suspend trading in Mosel shares.,The Taiwan Stock Exchange will ask the Securities and Futures Commission (SFC) to suspend trading in Mosel shares. A request for a two-month extension was denied and the Taiwan Stock Exchange is to ask the Securities and Futures Commission (SFC) to suspend trading in Mosel shares.,False
1,790082,790100,"Disney has repeatedly said the ""safety and enjoyment"" of its guests were the reasons the company wanted the no-fly zones, and wants them maintained.","Disney spokeswoman Rena Callahan said the ""safety and enjoyment"" of its guests were the only reasons the company wanted the no-fly zones, and wants them kept in place.","Disney has repeatedly said the ""safety and enjoyment"" of its guests were the reasons the company wanted the no-fly zones, and wants them maintained. Disney spokeswoman Rena Callahan said the ""safety and enjoyment"" of its guests were the only reasons the company wanted the no-fly zones, and wants them kept in place.",True
1,2760846,2760812,The dollar rose 0.6 percent to 109.54 yen<JPY=> and climbed more than 1 percent to 1.3315 Swiss francs<CHF=>.,The dollar rose around 0.6 percent against the Japanese currency to 109.51 yen <JPY=> and climbed 1 percent against the Swiss franc to 1.3302 francs <CHF=>.,The dollar rose 0.6 percent to 109.54 yen<JPY=> and climbed more than 1 percent to 1.3315 Swiss francs<CHF=>. The dollar rose around 0.6 percent against the Japanese currency to 109.51 yen <JPY=> and climbed 1 percent against the Swiss franc to 1.3302 francs <CHF=>.,True
1,2704026,2704076,The FBI is trying to determine when White House officials and members of the vice president’s staff first focused on Wilson and learned about his wife’s employment at the agency.,The FBI is trying to determine when White House officials and members of the vice president's staff focused on Wilson and learned about his wife's employment.,The FBI is trying to determine when White House officials and members of the vice president’s staff first focused on Wilson and learned about his wife’s employment at the agency. The FBI is trying to determine when White House officials and members of the vice president's staff focused on Wilson and learned about his wife's employment.,True
1,868307,868276,He said that it would be ''very difficult'' to establish a cause of death.,"Even with time, he said, ""it's going to be very difficult to determine the cause of death.""","He said that it would be ''very difficult'' to establish a cause of death. Even with time, he said, ""it's going to be very difficult to determine the cause of death.""",True
1,1772514,1772604,"Both devices use version 5.2 of the Palm operating system and feature a new design, which resembles a miniature notebook with a screen that swivels around 180 degrees.",Both devices use Palm OS 5.2 and feature a completely new form factor that resembles a miniature notebook with a screen that swivels 180 degrees.,"Both devices use version 5.2 of the Palm operating system and feature a new design, which resembles a miniature notebook with a screen that swivels around 180 degrees. Both devices use Palm OS 5.2 and feature a completely new form factor that resembles a miniature notebook with a screen that swivels 180 degrees.",True
0,68066,68260,"The case is Illinois v. Telemarketing Associates, 01-1806.","The case decided Monday centered around an Illinois fund-raiser, Telemarketing Associates.","The case is Illinois v. Telemarketing Associates, 01-1806. The case decided Monday centered around an Illinois fund-raiser, Telemarketing Associates.",False
1,1168132,1167672,"Kline's opinion dealt specifically with abortion providers, but it also would apply to doctors providing other services, such as prenatal care, to a pregnant child under 16.","Kline's opinion dealt specifically with abortion providers, but later his office said it also would apply to doctors providing services such as prenatal care to pregnant girls under 16.","Kline's opinion dealt specifically with abortion providers, but it also would apply to doctors providing other services, such as prenatal care, to a pregnant child under 16. Kline's opinion dealt specifically with abortion providers, but later his office said it also would apply to doctors providing services such as prenatal care to pregnant girls under 16.",True
1,2933340,2933394,"He said they should ""not really be patrolling or be around those areas when they ... are conducting their prayers.""","He said they should ""not really be patrolling or be around those areas when they are in their time of when they're conducting their prayers.""","He said they should ""not really be patrolling or be around those areas when they ... are conducting their prayers."" He said they should ""not really be patrolling or be around those areas when they are in their time of when they're conducting their prayers.""",True
0,396045,396195,U.S. Agriculture Secretary Ann Veneman said she will send a U.S. technical team to Canada to assist in the situation.,"U.S. Agriculture Secretary Ann Veneman, who announced yesterday's ban, also said Washington would send a technical team to Canada to assist in the Canadian situation.","U.S. Agriculture Secretary Ann Veneman said she will send a U.S. technical team to Canada to assist in the situation. U.S. Agriculture Secretary Ann Veneman, who announced yesterday's ban, also said Washington would send a technical team to Canada to assist in the Canadian situation.",False
1,783419,783611,"Senate Armed Services Committee Chairman Sen. John Warner, R-Va., is also considering a look into the issue.","Senate Armed Services Committee Chairman John Warner, R-Va., said he plans hearings.","Senate Armed Services Committee Chairman Sen. John Warner, R-Va., is also considering a look into the issue. Senate Armed Services Committee Chairman John Warner, R-Va., said he plans hearings.",True
1,1438917,1438953,"More than 6,000 companies must get shareholders' approval before granting their executives options and other stock compensation packages, the Securities and Exchange Commission said Monday.",Companies trading on the biggest stock markets must get shareholder approval before granting stock options and other equity compensation under rules cleared yesterday by the Securities and Exchange Commission.,"More than 6,000 companies must get shareholders' approval before granting their executives options and other stock compensation packages, the Securities and Exchange Commission said Monday. Companies trading on the biggest stock markets must get shareholder approval before granting stock options and other equity compensation under rules cleared yesterday by the Securities and Exchange Commission.",True
1,1306668,1306618,"Maddox, 87, cracked two ribs when he fell about 10 days ago at an assisted living home where he was recovering from intestinal surgery, Virginia Carnes said.","Maddox, who had battled cancer since 1983, cracked two ribs earlier this month when he fell at an assisted living home where he was recovering from surgery.","Maddox, 87, cracked two ribs when he fell about 10 days ago at an assisted living home where he was recovering from intestinal surgery, Virginia Carnes said. Maddox, who had battled cancer since 1983, cracked two ribs earlier this month when he fell at an assisted living home where he was recovering from surgery.",True
1,813240,813525,"But Mr Robinson urged the voters to be ""kind and sensitive and gentle"" to the believers who ""will not understand what you've done here today"".","But he urged the delegates who elected him to be ""kind and sensitive and gentle"" to believers who ""will not understand what you've done here today.""","But Mr Robinson urged the voters to be ""kind and sensitive and gentle"" to the believers who ""will not understand what you've done here today"". But he urged the delegates who elected him to be ""kind and sensitive and gentle"" to believers who ""will not understand what you've done here today.""",True
0,2083612,2083810,Twenty percent of Latino students and 23 percent of black students performed at proficient or higher.,"In math, 16 percent of elementary and middle school students and 9.6 percent of high school students must be proficient.","Twenty percent of Latino students and 23 percent of black students performed at proficient or higher. In math, 16 percent of elementary and middle school students and 9.6 percent of high school students must be proficient.",False
1,1604530,1604464,"In addition to HP, vendors backing SMI-S include Computer Associates, EMC, IBM, Sun and Veritas.","Computer Associates, EMC, IBM, Sun Microsystems, and VERITAS are also onboard to support the storage standard.","In addition to HP, vendors backing SMI-S include Computer Associates, EMC, IBM, Sun and Veritas. Computer Associates, EMC, IBM, Sun Microsystems, and VERITAS are also onboard to support the storage standard.",True
